census_year,location,trading_name,business_address,industry_description,longitude,latitude
2016,East Melbourne,Eye Surgery Associates,"Level 2, 232 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,Wilson Parking,Carpark 68-90 Victoria Parade EAST MELBOURNE VIC 3002,Parking Services,144.9742892,-37.80856173
2016,East Melbourne,Parenting Research Centre Inc,"Level 5, 232 Victoria Parade EAST MELBOURNE 3002",Scientific Research Services,,
2022,East Melbourne,Vacant,Ground 404 Albert Street EAST MELBOURNE VIC 3002,Vacant Space,144.9774299,-37.80937924
2016,East Melbourne,Mercy Health Lymphoedema Clinic,"Part Level 1, 232 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,Melbourne Diocesan Historial Commission,396 Albert Street EAST MELBOURNE VIC 3002,Religious Services,144.9777272,-37.80946178
2016,East Melbourne,Royal College of Surgeons,250-290 Spring Street EAST MELBOURNE 3002,Higher Education,144.9723459,-37.80865786
2022,East Melbourne,Marriage Tribunal,390 Albert Street EAST MELBOURNE VIC 3002,Religious Services,144.9779344,-37.80950175
2016,East Melbourne,College of Surgeons' Museum and Art Gallery,"Part Ground , 250-290 Spring Street EAST MELBOURNE 3002",Museum Operation,144.9723459,-37.80865786
2022,East Melbourne,Stephen Andrianakis and Associates,Part Ground 19 Lansdowne Street EAST MELBOURNE VIC 3002,Legal Services,144.9781003,-37.80916429
2016,East Melbourne,Giliot Reserve,210-230 Spring Street EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.9725758,-37.80966808
2022,East Melbourne,Melbourne Residential Property Services Pty Limite,21 Lansdowne Street EAST MELBOURNE VIC 3002,Real Estate Services,144.9781107,-37.80910339
2016,East Melbourne,The Faculty Management Consultants Pty Ltd,"Part Gnd & Flr1 , 502 Albert Street EAST MELBOURNE 3002",Management Advice and Other Consulting Services,144.9740327,-37.80900083
2022,East Melbourne,Intrafin Systems,27 Lansdowne Street EAST MELBOURNE VIC 3002,Computer System Design and Related Services,144.9781396,-37.8089345
2016,East Melbourne,vacant,"Level 7, 486-492 Albert Street EAST MELBOURNE 3002",Vacant Space,144.9744583,-37.80900661
2022,East Melbourne,Eye And Ear Hospital Accommodation,20-22 Morrison Place EAST MELBOURNE VIC 3002,Hospitals (except Psychiatric Hospitals),144.9768677,-37.8089904
2016,East Melbourne,vacant,"Level 4, 486-492 Albert Street EAST MELBOURNE 3002",Vacant Space,144.9744583,-37.80900661
2022,East Melbourne,The Annunciation of Our Lady Greek Orthodox Church,186-196 Victoria Parade EAST MELBOURNE VIC 3002,Religious Services,144.9781568,-37.80883391
2016,East Melbourne,Victorian TAFE Association,"Part Level 3, 478 Albert Street EAST MELBOURNE 3002",Business and Professional Association Services,144.9746894,-37.80907172
2022,East Melbourne,East Melbourne Neurosurgery,"Lot 6E, Level 5 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9778943,-37.80895336
2016,East Melbourne,McGregor West,"Part Level 1, 478-484 Albert Street EAST MELBOURNE 3002",Accounting Services,144.9746894,-37.80907172
2022,East Melbourne,Intelligent Dental Solutions,"Lot 2A, Level 1 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Dental Services,144.9778943,-37.80895336
2016,East Melbourne,Metropolitan Fire & Emergency Services Board,456 Albert Street EAST MELBOURNE 3002,Fire Protection and Other Emergency Services,144.9751841,-37.80896912
2022,East Melbourne,Vacant,"Lot 3A, Level 2 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Vacant Space,144.9778943,-37.80895336
2016,East Melbourne,BSM Services,1 Nicholson Street EAST MELBOURNE 3002,Architectural Services,144.9735316,-37.80899183
2022,East Melbourne,Marie Stopes Australia,"Lot 2D, Level 1 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Other Social Assistance Services,144.9778943,-37.80895336
2016,East Melbourne,Foursight,"Part Level 15, 1 Nicholson Street EAST MELBOURNE 3002",Other Auxiliary Finance and Investment Services,144.9735316,-37.80899183
2022,East Melbourne,Vacant,"Lot 5B, Level 4 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Vacant Space,144.9778943,-37.80895336
2016,East Melbourne,vacant,"Part Ground , 1 Nicholson Street EAST MELBOURNE 3002",Vacant Space,144.9735316,-37.80899183
2022,East Melbourne,Ear Nose & Throat Victoria,"Lot 6C, Level 5 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9778943,-37.80895336
2016,East Melbourne,Orica Limited,1 Nicholson Street EAST MELBOURNE 3002,Basic Organic Chemical Manufacturing,144.9735316,-37.80899183
2022,East Melbourne,Balance & Hearing Centre,"Part Lot 5C, Level 4 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9778943,-37.80895336
2016,East Melbourne,"Department of Environment, Land, Water & Planning",8 Nicholson Street EAST MELBOURNE 3002,State Government Administration,144.9736287,-37.80849765
2022,East Melbourne,Mr David Wallace,"Lot 5E, Level 4 182-184 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9778943,-37.80895336
2016,East Melbourne,Cafe Ecco,"Part Gnd & Mezz , 8 Nicholson Street EAST MELBOURNE 3002",Cafes and Restaurants,144.9736287,-37.80849765
2022,East Melbourne,Vacant,168-172 Victoria Parade EAST MELBOURNE VIC 3002,Vacant Space,144.9775472,-37.80891588
2016,East Melbourne,State Control Centre,"Level 4, 8 Nicholson Street EAST MELBOURNE 3002",State Government Administration,144.9736287,-37.80849765
2022,East Melbourne,Vacant,Part Ground 166 Victoria Parade EAST MELBOURNE VIC 3002,Vacant Space,144.9773774,-37.80889754
2016,East Melbourne,Danielle Baker,"Suite 512, Level 5, 100 Victoria Parade EAST MELBOURNE 3002",Other Allied Health Services,144.9748885,-37.80863467
2022,East Melbourne,Royal Victorian Eye And Ear Hospital,Level 1 160 Victoria Parade EAST MELBOURNE VIC 3002,Scientific Research Services,144.9771827,-37.8087897
2016,East Melbourne,Orica Limited,"Lot , Level 3, 100 Victoria Parade EAST MELBOURNE 3002",Management Advice and Other Consulting Services,144.9748885,-37.80863467
2022,East Melbourne,St Vincents Health Australia,14-18 Morrison Place EAST MELBOURNE VIC 3002,General Practice Medical Services,144.9768379,-37.80916775
2016,East Melbourne,Melbourne Sleep Disorders Centre,"Suite 508, Level 5, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Strangers Corridor,Level 1 160 Spring Street EAST MELBOURNE VIC 3002,Cafes and Restaurants,144.9741607,-37.8108596
2016,East Melbourne,Focus Gastroenterology,"Suite 419, Level 4, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Department Of Parliamentary Services,Rear Parliamentary Offices 160 Spring Street EAST MELBOURNE VIC 3002,State Government Administration,144.9741607,-37.8108596
2016,East Melbourne,Irene Haas & Associates,"Suite 215, Level 2, 100 Victoria Parade EAST MELBOURNE 3002",Other Allied Health Services,144.9748885,-37.80863467
2022,East Melbourne,"Maintenance Sheds, St.Patricks",Maintenance Sheds St Patricks Cathedral 7 Lansdowne Street EAST MELBOURNE VIC 3002,Religious Services,144.9769172,-37.81028319
2016,East Melbourne,Dr Christopher Ley & Ms Mary Parkin,"Suite 202, Level 2, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Vacant,Part Ground & Pt Lvl 4 10 St Andrews Place EAST MELBOURNE VIC 3002,Vacant Space,144.9774,-37.81151967
2016,East Melbourne,Melbourne Retina Associates,"Level 4, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Vacant,"Level 1-3, Part Level 4 & Level 5-6 10 St Andrews Place EAST MELBOURNE VIC 3002",Vacant Space,144.9774,-37.81151967
2016,East Melbourne,Dr Geoff Markov,"Suite 502, Level 5, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Royal Victorian Eye And Ear Hospital,2 St Andrews Place EAST MELBOURNE VIC 3002,Hospitals (except Psychiatric Hospitals),144.9774,-37.81151967
2016,East Melbourne,Dr Daniel Wai Keung Chiu & Dr Jonathon Yeoh,"Suite 405, Level 4, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Burston Reserve,Burston Reserve 1-33 Parliament Place EAST MELBOURNE VIC 3002,Nature Reserves and Conservation Parks Operation,144.9751896,-37.81149726
2016,East Melbourne,Dr David Leong,"Suite 420, Level 4, 100 Victoria Parade EAST MELBOURNE 3002",General Practice Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Department of Premier and Cabinet,1 MacArthur Street EAST MELBOURNE VIC 3002,State Government Administration,144.9756715,-37.81280015
2016,East Melbourne,Victoria Parade Anaesthetic Services,"Unit 4, 23-0 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Department Of Education And Training,23 St Andrews Place EAST MELBOURNE VIC 3002,State Government Administration,144.9756715,-37.81280015
2016,East Melbourne,Dr Graeme M Gonzales / Dr Valerie Tay,"Suite 413, Level 4, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Department of Parliamentary Services,55 St Andrews Place EAST MELBOURNE VIC 3002,State Government Administration,144.9756715,-37.81280015
2016,East Melbourne,Mr Paul Smith,"Suite 2, Ground , 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Victorian Aboriginal Heritage Council,Part 3 Treasury Place EAST MELBOURNE VIC 3002,State Government Administration,144.9756715,-37.81280015
2016,East Melbourne,Clive Hair Clinics,"Suite 401, Level 4, 100 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9748885,-37.80863467
2022,East Melbourne,Victorian Public Sector Commission,Part 3 Treasury Place EAST MELBOURNE VIC 3002,State Government Administration,144.9756715,-37.81280015
2016,East Melbourne,Wilson Parking,"Carpark , 68-90 Victoria Parade EAST MELBOURNE 3002",Parking Services,144.9742985,-37.80856308
2022,East Melbourne,Office Of The Victorian Government Architect,Part Level 2 20 Spring Street EAST MELBOURNE VIC 3002,State Government Administration,144.9743358,-37.81320727
2016,East Melbourne,Home @ the Mansion,80 Victoria Parade EAST MELBOURNE 3002,Accommodation,144.9742985,-37.80856308
2022,East Melbourne,Treasury Gardens,Treasury Gardens 2-18 Spring Street EAST MELBOURNE VIC 3002,Nature Reserves and Conservation Parks Operation,144.9759419,-37.81400001
2016,East Melbourne,Cochlear Clinic,"Part Level 6, 126 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9762685,-37.80887179
2022,East Melbourne,Vacant,Gnd & Flr1 33-41 Agnes Street EAST MELBOURNE VIC 3002,Vacant Space,144.9797192,-37.81751274
2016,East Melbourne,Zouki Cafe Eye & Ear Hospital,"Part Ground , 32 Victoria Parade EAST MELBOURNE 3002",Cafes and Restaurants,144.9762685,-37.80887179
2022,East Melbourne,Built Environment Channel Pty Ltd,Level 2 33-41 Agnes Street EAST MELBOURNE VIC 3002,Financial Asset Investing,144.9797192,-37.81751274
2016,East Melbourne,Allen & Unwin,406 Albert Street EAST MELBOURNE 3002,Book Publishing,144.9773531,-37.80937127
2022,East Melbourne,Businessary,Part Ground 43 Agnes Street EAST MELBOURNE VIC 3002,Management Advice and Other Consulting Services,144.9797424,-37.81737702
2016,East Melbourne,Stephen Andrianakis and Associates,19 Lansdowne Street EAST MELBOURNE 3002,Legal Services,144.9781096,-37.80916563
2022,East Melbourne,Sutherland Farrelly Pty Ltd,Part Ground 43 Agnes Street EAST MELBOURNE VIC 3002,Real Estate Services,144.9797424,-37.81737702
2016,East Melbourne,vacant,"Part Level 1, 19 Lansdowne Street EAST MELBOURNE 3002",Vacant Space,144.9781096,-37.80916563
2022,East Melbourne,Vacant,49-51 Agnes Street EAST MELBOURNE VIC 3002,Vacant Space,144.9797728,-37.81719942
2016,East Melbourne,vacant,"Ground , 25 Lansdowne Street EAST MELBOURNE 3002",Vacant Space,144.9781398,-37.80898917
2022,East Melbourne,ALPHINGTON PRIVATE WEALTH PTY LTD,Part Ground 128-136 Jolimont Road EAST MELBOURNE VIC 3002,Financial Asset Investing,144.9791901,-37.81750017
2016,East Melbourne,Michael Murphy,"Lot 6, Level 5, 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,Cricket Australia,Level 2 128-136 Jolimont Road EAST MELBOURNE VIC 3002,Sports and Physical Recreation Clubs and Sports Professionals,144.9791901,-37.81750017
2016,East Melbourne,East Melbourne Podiatry,"Lot 3, Level 2, 182-184 Victoria Parade EAST MELBOURNE 3002",Other Health Care Services n.e.c.,144.9779037,-37.8089547
2022,East Melbourne,Number One Womens Health,Part Level 1 120 Jolimont Road EAST MELBOURNE VIC 3002,Other Allied Health Services,144.9791268,-37.81786791
2016,East Melbourne,Dr Vadim Mirmilestein,"Lot 3, Level 2, 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,Vacant,108-110 Jolimont Road EAST MELBOURNE VIC 3002,Vacant Space,144.9790975,-37.81803777
2016,East Melbourne,Synapse Medical Services,"Lot 2, Level 1, 182-184 Victoria Parade EAST MELBOURNE 3002",Document Preparation Services,144.9779037,-37.8089547
2022,East Melbourne,CSE,Level 1 & Part Level 2 82 Jolimont Street EAST MELBOURNE VIC 3002,Business and Professional Association Services,144.979993,-37.81822582
2016,East Melbourne,Integrative Psychology Pty Ltd,"Lot 3, Level 2, 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,H.I.A. Insurance Services,Level 2 70 Jolimont Street EAST MELBOURNE VIC 3002,General Insurance,144.9803627,-37.81820615
2016,East Melbourne,"Evren-Ear,Nose and Throat Clinic","Lot 4, Level 3, 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,Vacant,Level 4 70 Jolimont Street EAST MELBOURNE VIC 3002,Vacant Space,144.9803627,-37.81820615
2016,East Melbourne,Palliative Care Victoria,"Lot 3, Level 2, 182-184 Victoria Parade EAST MELBOURNE 3002",Other Interest Group Services n.e.c.,144.9779037,-37.8089547
2022,East Melbourne,Vacant,32-34 Jolimont Terrace EAST MELBOURNE VIC 3002,Vacant Space,144.9814639,-37.81808963
2016,East Melbourne,Mr T Redhead,"Lot 5, Part 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,Barassi & Co Chartered Accountants,Ground & Part Level 1 149-151 Wellington Parade South EAST MELBOURNE VIC 3002,Accounting Services,144.9796769,-37.81677377
2016,East Melbourne,Mr David Wallace,"Lot 5, Level 4, 182-184 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.9779037,-37.8089547
2022,East Melbourne,Tigers Realm Coal Limited,Part Level 1 149-151 Wellington Parade South EAST MELBOURNE VIC 3002,Coal Mining,144.9796769,-37.81677377
2016,East Melbourne,Cochlear Limited,"Part Level 1, 174 Victoria Parade EAST MELBOURNE 3002",Scientific Research Services,144.977734,-37.80893638
2022,East Melbourne,Yarra Park Children's Centre,17-29 Berry Street EAST MELBOURNE VIC 3002,Child Care Services,144.9883573,-37.81860737
2016,East Melbourne,Cochlear Care Centre,"Ground , 174 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,144.977734,-37.80893638
2022,East Melbourne,Citipower Pty,"Substation 46 Adjacent 58 Vale Street South, EAST MELBOURNE VIC 3002",Electricity Transmission,144.9872781,-37.81972785
2016,East Melbourne,Royal Victorian Eye and Ear Hospital,168-172 Victoria Parade EAST MELBOURNE 3002,Hospitals (except Psychiatric Hospitals),144.9775566,-37.80891722
2022,East Melbourne,Yarra Park,Brunton Avenue EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.9872781,-37.81972785
2016,East Melbourne,Balmoral House Hostel,146-152 Victoria Parade EAST MELBOURNE 3002,Accommodation,,
2022,East Melbourne,Richmond Football Club Limited - Oval,Part Punt Road Oval Punt Road EAST MELBOURNE VIC 3002,Sports and Physical Recreation Clubs and Sports Professionals,144.9872781,-37.81972785
2016,East Melbourne,RuronaHouse,146-150 Victoria Parade EAST MELBOURNE 3002,Accommodation,,
2022,East Melbourne,Richmond Football Club Limited - Office,Office Punt Road Oval Yarra Park Punt Road EAST MELBOURNE VIC 3002,Sports and Physical Recreation Clubs and Sports Professionals,144.9872781,-37.81972785
2016,East Melbourne,IG Partners,"Part Level 1, 15 Gisborne Street EAST MELBOURNE 3002",Management Advice and Other Consulting Services,144.9749696,-37.80986997
2022,East Melbourne,Melbourne Cricket Club,MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.983188,-37.82000693
2016,East Melbourne,Victorian Parliament,160 Spring Street EAST MELBOURNE 3002,State Government Administration,144.97417,-37.81086095
2022,East Melbourne,Australian Sports Museum,"Part Olympic Stand, MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002",Museum Operation,144.983188,-37.82000693
2016,East Melbourne,Strangers Corridor,"Level 1, 160 Spring Street EAST MELBOURNE 3002",Cafes and Restaurants,144.97417,-37.81086095
2022,East Melbourne,MCG Tours,"Part Olympic Stand, MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002",Museum Operation,144.983188,-37.82000693
2016,East Melbourne,Parliamentary Committees,481-487 Albert Street EAST MELBOURNE 3002,State Government Administration,144.97417,-37.81086095
2022,East Melbourne,Spotless Services,Part MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,Cafes and Restaurants,144.983188,-37.82000693
2016,East Melbourne,Gordon Reserve,74-108 Spring Street EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.974076,-37.81234839
2022,East Melbourne,Tab,TAB MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,Other Gambling Activities,144.983188,-37.82000693
2016,East Melbourne,Cell Therapies Pty Ltd,10 St Andrews Place EAST MELBOURNE 3002,Scientific Research Services,144.9774094,-37.811521
2022,Melbourne (Remainder),Open Space,Batman Avenue MELBOURNE 3004,Nature Reserves and Conservation Parks Operation,144.9790385,-37.8213404
2016,East Melbourne,Park Hyatt Melbourne Entrance,Parliament Place EAST MELBOURNE 3002,Accommodation,144.9757995,-37.81136961
2022,Melbourne (Remainder),Collingwood Football Club Limited,Part Holden Centre Olympic Park 10 Olympic Boulevard MELBOURNE VIC 3004,Sports and Physical Recreation Clubs and Sports Professionals,144.982456,-37.82484857
2016,East Melbourne,National Trust of Australia (Victoria),2-8 Parliament Place EAST MELBOURNE 3002,Other Interest Group Services n.e.c.,144.9757552,-37.81162413
2022,Melbourne (Remainder),Olympic Park Oval,Olympic Park Oval 30 Olympic Boulevard MELBOURNE VIC 3004,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.982456,-37.82484857
2016,East Melbourne,Park Hyatt Melbourne,20 Cathedral Place EAST MELBOURNE 3002,Accommodation,144.9765192,-37.81131306
2022,Melbourne (Remainder),Barlaston Pty Ltd,Part AAMI Park Olympic Park 60 Olympic Boulevard MELBOURNE VIC 3004,Physiotherapy Services,144.982456,-37.82484857
2016,East Melbourne,Department of Education & Early Childhood Development,23 St Andrews Place EAST MELBOURNE 3002,State Government Administration,144.9756809,-37.81280148
2022,Melbourne (Remainder),Victorian Olympic Council Inc,Part AAMI Park Olympic Park 60 Olympic Boulevard MELBOURNE VIC 3004,Sport and Physical Recreation Administrative Service,144.982456,-37.82484857
2016,East Melbourne,Office of Victorian Government Architect,"Part Level 2, 20 Spring Street EAST MELBOURNE 3002",State Government Administration,144.9743452,-37.81320861
2022,Melbourne (Remainder),The Glasshouse,Part The Glasshouse Olympic Park 20 Olympic Boulevard MELBOURNE VIC 3004,Non-Residential Property Operators,144.982456,-37.82484857
2016,East Melbourne,St Andrews Place Reserve,St Andrews Place EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,,
2022,East Melbourne,Jolimont Reserve,Jolimont Reserve Wellington Parade South EAST MELBOURNE VIC 3002,Nature Reserves and Conservation Parks Operation,144.9805907,-37.81638866
2016,East Melbourne,Mantra On Jolimont / Boundary Line Bar,"Level 1, 133 Jolimont Road EAST MELBOURNE 3002",Accommodation,144.9782872,-37.81795065
2022,Melbourne (Remainder),Delisure Kitchen,"Shop 1, 391 St Kilda Road MELBOURNE VIC 3004",Cafes and Restaurants,144.9757167,-37.83548527
2016,East Melbourne,Recreational Areas (Wellington Cresent),157 Jolimont Road EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.9769301,-37.81669592
2022,Melbourne (Remainder),Denim It Consulting And Law,"Shop 7A, 397 St Kilda Road MELBOURNE VIC 3004",Legal Services,144.9760327,-37.83571029
2016,East Melbourne,Irwin Consult,"Part Level 3, 279 Wellington Parade South EAST MELBOURNE 3002",Engineering Design and Engineering Consulting Services,144.976539,-37.81674567
